rank,feature_index,feature,mean_abs_shap,share_of_total,cumulative_share,mean_signed_shap,std_shap,mean_row_share
1,32,min_target_distance,0.76066061500405,0.22950421254347247,0.22950421254347247,-0.03756820967888986,0.8533397139103149,0.22600438525650876
2,3,abs_delta,0.4425317866304813,0.1335193478047287,0.3630235603482012,0.03756714866638733,0.5387464782681529,0.12980496983730858
3,2,delta,0.2854738515996494,0.08613230423765376,0.449155864585855,-0.014804499861406884,0.40055981832042353,0.08310520476111001
4,5,cache_hit,0.2666900498059732,0.08046491255968795,0.5296207771455429,-0.015861771117988754,0.34151180574036727,0.08372939401260086
5,33,mshr_occupancy_ratio,0.1837867144981981,0.05545156979980668,0.5850723469453496,0.005958396258560119,0.22921900187884817,0.0573994767038048
6,26,ip_hist_count,0.17478006523250714,0.052734110913932,0.6378064578592816,-0.022495448725006955,0.21610265660024977,0.053670357759690195
7,34,pq_occupancy_ratio,0.1607024235366825,0.04848664757990335,0.6862931054391849,0.017190079736269563,0.19445790239920382,0.0518905160243919
8,13,touch_mask[cand],0.13861603390234126,0.04182280912031541,0.7281159145595003,0.047601144977195926,0.18432540756026952,0.04222994011564163
9,1,candidate_offset,0.12259867668785933,0.03699010070604105,0.7651060152655415,-0.020757822922503423,0.1619795667545477,0.038876145802113
10,6,useful_prefetch,0.08451121115904509,0.025498466182646378,0.7906044814481877,0.008299871519139338,0.12245673590185886,0.026333469263629707
11,24,pending_evicted_mask[cand],0.08431345303317128,0.025438799201002407,0.8160432806491902,-0.0027984972384400945,0.17744687528943115,0.02347732494413533
12,8,ml_pf_latency_bucket,0.08328785603767817,0.025129359187684056,0.8411726398368742,0.013725222360852015,0.1148589479506237,0.025673505377709016
13,7,demand_latency_bucket,0.08311896024054312,0.025078400460284745,0.8662510402971589,0.006591623326289123,0.12591196875431518,0.025502142719012872
14,28,abs_last_delta,0.08244817018074124,0.024876011718945747,0.8911270520161048,-0.000422050855117813,0.11812430071963592,0.025722891755448434
15,19,useless_pf_mask[cand],0.07061861276051873,0.021306833550766888,0.9124338855668717,0.006713855850418642,0.2089660486172503,0.01989140354004794
16,14,miss_mask[cand],0.053038451156297996,0.016002600538331788,0.9284364861052035,0.012306117948625957,0.16684663083266504,0.015107996893785445
17,0,cur_offset,0.049072308177266606,0.014805947913911927,0.9432424340191153,0.006044625073864175,0.07199485282184263,0.015071487152265632
18,15,upper_pf_mask[cand],0.03420470506144482,0.010320139817370228,0.9535625738364856,-0.0268879059625048,0.037404355640053406,0.01068311702598031
19,27,last_delta,0.03153525292026167,0.009514720817753081,0.9630772946542385,-1.3382685050640741e-05,0.048656388294887394,0.009522222315512328
20,18,ml_l2_useful_pf_mask[cand],0.02240260201313321,0.006759245098974361,0.9698365397532129,-0.007552408247868044,0.039728390754654584,0.006502946777585806
21,12,ip_history_has_cand,0.02233194544260879,0.006737926812922252,0.9765744665661352,-2.306774580489078e-05,0.07047012312988732,0.006798113565251436
22,11,recent_offsets_has_cand,0.02100258272271218,0.006336835527010341,0.9829113020931455,0.005125740654404467,0.05599968691718345,0.0063180260343599125
23,30,delta_match_any,0.019927054056199378,0.006012330281428988,0.9889236323745746,-0.0019231783193067952,0.04858877051308627,0.006159008637110779
24,16,issued_pf_mask[cand],0.013409636851689687,0.004045914939508975,0.9929695473140836,-0.0027856165124532616,0.03507650769765851,0.0036579066402623035
25,31,delta_match_count,0.008858440331247783,0.0026727417359127177,0.9956422890499963,-0.0008425556819391548,0.040968690313592356,0.002619287613409724
26,10,evicted_then_demand_score[cand],0.004943615832088939,0.001491572767514688,0.997133861817511,-0.002331537465525648,0.018248084757209553,0.0014075492407354686
27,35,rq_occupancy_ratio,0.003052460465091485,0.0009209791088725858,0.9980548409263836,-0.0004359304849029201,0.007715063037341492,0.0010608011968174108
28,17,useful_prefetch_hit_mask[cand],0.0023168085283745287,0.0006990204388533596,0.998753861365237,-0.0005695471773792261,0.005421921670345525,0.00066435756097317
29,9,age_bucket[cand],0.0021041213749252285,0.0006348491163112633,0.9993887104815483,-0.0005786217407484683,0.020052150409641534,0.0005416740445176451
30,29,delta_eq_last_delta,0.001220460267484692,0.000368233568433379,0.9997569440499816,-0.0003169092640299673,0.011604133094682945,0.0003297334254485181
31,36,wq_occupancy_ratio,0.000449580963867332,0.0001356462041699872,0.9998925902541516,8.76596417039046e-07,0.003425177190279385,0.00014865968191009804
32,25,evicted_then_demand_access_mask[cand],0.0003559950487577139,0.00010740974584845465,1.0,3.7808345565884435e-05,0.0024872943167178157,9.598432091966337e-05
33,23,live_ml_l2_used_mask[cand],0.0,0.0,1.0,0.0,0.0,0.0
34,22,live_ml_l2_pf_mask[cand],0.0,0.0,1.0,0.0,0.0,0.0
35,21,inflight_ml_l2_pf_mask[cand],0.0,0.0,1.0,0.0,0.0,0.0
36,4,trigger_source,0.0,0.0,1.0,0.0,0.0,0.0
37,20,resident_mask[cand],0.0,0.0,1.0,0.0,0.0,0.0
